instalaciones,category
97652741135,Tools
61085503547,Communication
39813852653,Productivity
27440111403,Photography
27299323614,Social
25795016221,Action
25579038912,Casual
25539143640,Video Players & Editors
24008685695,Music & Audio
23053135152,Entertainment
21185508559,Arcade
16287421675,Travel & Local
16205041384,Simulation
15602675247,Puzzle
14668197664,Racing
13196821484,Personalization
12197856405,Sports
9054502555,Shopping
9024388253,Books & Reference
8349829179,Education
8052481438,Lifestyle
7694528276,News & Magazines
7488165230,Adventure
7421746675,Finance
6765011178,Strategy
6731839682,Role Playing
6612491485,Health & Fitness
6512651594,Business
6388939071,Educational
4191561215,Board
3778610559,Maps & Navigation
2838786446,Word
2708114397,Card
2631706616,Music
2568248787,Weather
2125426840,Food & Drink
1968785825,Auto & Vehicles
1950867225,Casino
1735492353,Trivia
1429256883,Art & Design
734630491,Medical
731175053,Dating
668716441,House & Home
590064837,Comics
521231242,Beauty
440147575,Libraries & Demo
361449990,Parenting
91758829,Events
235549,
